iter	Passed	Remaining
867	130738	8886
868	130852	8733
869	130982	8581
870	131126	8430
871	131278	8280
872	131391	8127
873	131502	7974
874	131647	7823
875	131766	7671
876	131919	7521
877	132085	7371
878	132228	7220
879	132356	7069
880	132508	6918
881	132704	6770
882	132839	6619
883	133009	6469
884	133153	6319
885	133318	6169
886	133452	6018
887	133593	5867
888	133748	5717
889	133908	5566
890	134051	5416
891	134180	5264
892	134303	5113
893	134448	4962
894	134566	4811
895	134686	4659
896	134812	4508
897	134949	4358
898	135079	4207
899	135203	4056
900	135326	3905
901	135449	3754
902	135577	3603
903	135702	3452
904	135856	3302
905	135995	3152
906	136099	3001
907	136238	2850
908	136347	2699
909	136499	2549
910	136650	2400
911	136814	2250
912	136988	2100
913	137131	1950
914	137263	1800
915	137382	1649
916	137500	1499
917	137658	1349
918	137765	1199
919	137904	1049
920	138021	899
921	138162	749
922	138304	599
923	138440	449
924	138572	299
925	138678	149
926	138807	0
